name,period,M2,M2_e,Mwd,Mwd_e,period_e,source
SDSSJ104738.24+052320.3,0.38208333333333333,0.255,0.124,0.38,0.179,0.01592013888888889,sdss
SDSSJ114312.57+000926.5,0.38637499999999997,0.319,0.09,0.523,0.065,0.016098958333333333,sdss
SDSSJ094913.37+032254.5,0.3954583333333333,0.319,0.09,0.51,0.079,0.016477430555555554,sdss
SDSSJ131632.04-003758.0,0.4025,0.38,0.07200000000000001,,,0.016770833333333336,sdss
SDSSJ211428.41-010357.2,0.410625,0.38,0.07200000000000001,0.7,0.073,0.017109375,sdss
SDSSJ152359.22+460448.9,0.4138208333333333,0.149,0.075,0.78,0.064,0.01724253472222222,sdss
SDSSJ160821.47+085149.9,0.414,0.196,0.085,0.98,0.083,0.017249999999999998,sdss
SDSSJ030716.44+384822.8,0.43027499999999996,0.38,0.07200000000000001,,,0.017928125,sdss
SDSSJ212051.92-005827.3,0.44897499999999996,0.319,0.09,0.64,0.038,0.018707291666666664,sdss
SDSSJ080736.96+072412.0,0.47727125000000004,0.38,0.07200000000000001,0.61,0.096,0.019886302083333335,sdss
SDSSJ215614.57-000237.4,0.5029229166666667,0.196,0.085,,,0.020955121527777777,sdss
SDSSJ082145.27+455923.4,0.5090902,0.431,0.1,0.66,0.05,0.02121209166666667,sdss
SDSSJ030138.24+050218.9,0.5391141666666667,0.319,0.09,0.875,0.064,0.022463090277777778,sdss
SDSSJ142951.19+575949.0,0.5452025,0.38,0.07200000000000001,1.07,0.131,0.022716770833333334,sdss
SDSSJ231105.66+220208.6,0.5801,0.38,0.07200000000000001,,,0.024170833333333332,sdss
SDSSJ152425.21+504009.7,0.5896319583333334,0.319,0.09,0.705,0.032,0.02456799826388889,sdss
SDSSJ233928.35-002040.0,0.6558333333333334,0.319,0.09,0.83,0.304,0.02732638888888889,sdss
SDSSJ155808.49+264225.7,0.6625666666666666,0.319,0.09,0.955,0.23600000000000002,0.027606944444444444,sdss
SDSSJ171810.15+610114.0,0.6731250000000001,0.319,0.09,0.53,0.06,0.028046875000000002,sdss
SDSSJ024642.55+004137.2,0.72625,0.38,0.07200000000000001,0.95,0.099,0.030260416666666665,sdss
SDSSJ141451.73-013242.7,0.7283333333333334,0.255,0.124,0.78,0.139,0.030347222222222223,sdss
SDSSJ170509.65+210904.4,0.8152916666666666,0.255,0.124,0.52,0.035,0.03397048611111111,sdss
SDSSJ143746.69+573706.0,0.83890375,0.319,0.09,0.815,0.27899999999999997,0.03495432291666666,sdss
SDSSJ143642.01+574146.3,0.8640766666666666,0.38,0.07200000000000001,,,0.03600319444444444,sdss
SDSSJ022503.02+005456.2,0.9108333333333333,0.294,0.09,,,0.03795138888888889,sdss
SDSSJ131334.74+023750.7,0.929965,0.319,0.09,0.705,0.081,0.03874854166666667,sdss
SDSSJ204541.90-050925.7,0.98048,0.38,0.07200000000000001,0.49,0.073,0.04085333333333333,sdss
SDSSJ150657.58-012021.7,1.05098125,0.319,0.09,0.45,0.091,0.04379088541666667,sdss
SDSSJ151921.72+353625.8,1.3670833333333334,0.196,0.085,0.57,0.027999999999999997,0.05696180555555556,sdss
SDSSJ152821.45+344314.9,1.41125,0.319,0.09,0.56,0.073,0.05880208333333333,sdss
SDSSJ143947.62-010606.7,1.5226083333333333,0.47200000000000003,0.078,0.81,0.065,0.06344201388888888,sdss
SDSSJ164615.60+422349.2,1.5954166666666667,0.255,0.124,0.53,0.057999999999999996,0.06647569444444444,sdss
SDSSJ095737.59+300136.5,1.9261278,0.38,0.07200000000000001,0.42,0.055,0.080255325,sdss
SDSSJ030544.41-074941.2,2.0192166666666664,0.319,0.09,0.52,0.049,0.08413402777777777,sdss
SDSSJ162354.45+630640.4,2.2317666666666667,0.319,0.09,1.0,0.08900000000000001,0.09299027777777778,sdss
SDSSJ092741.73+332959.1,2.3082217,0.38,0.07200000000000001,0.59,0.045,0.09617590416666666,sdss
SDSSJ092452.39+002449.0,2.404166666666667,0.319,0.09,0.52,0.034,0.10017361111111112,sdss
SDSSJ231825.23-093539.1,2.533725,0.38,0.07200000000000001,0.5,0.046,0.105571875,sdss
SDSSJ143443.24+533521.2,4.3567583333333335,0.319,0.09,0.49,0.017,0.18153159722222223,sdss
SDSSJ121130.94-024954.4,7.8180000000000005,0.38,0.07200000000000001,0.52,0.07,0.32575000000000004,sdss
SDSSJ222108.45+002927.7,9.588,0.38,0.07200000000000001,0.785,0.076,0.39949999999999997,sdss
